,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2020-07-20,305.3686999877524,231.4587841101802,368.35794235127304,305.3686999877524,305.3686999877524,-5.747141642309059,-5.747141642309059,-5.747141642309059,-5.747141642309059,-5.747141642309059,-5.747141642309059,0.0,0.0,0.0,299.62155834544336
1,2020-07-21,306.9926633736283,234.2671111596625,376.47376222931456,306.9926633736283,306.9926633736283,-3.0924933585209824,-3.0924933585209824,-3.0924933585209824,-3.0924933585209824,-3.0924933585209824,-3.0924933585209824,0.0,0.0,0.0,303.90017001510734
2,2020-07-22,308.61662675950424,239.1712373131714,376.02211668223987,308.61662675950424,308.61662675950424,-4.4486245001026985,-4.4486245001026985,-4.4486245001026985,-4.4486245001026985,-4.4486245001026985,-4.4486245001026985,0.0,0.0,0.0,304.16800225940153
3,2020-07-23,310.24059014538017,234.95498187419338,374.1031190901907,310.24059014538017,310.24059014538017,-4.546471507202396,-4.546471507202396,-4.546471507202396,-4.546471507202396,-4.546471507202396,-4.546471507202396,0.0,0.0,0.0,305.69411863817777
4,2020-07-24,311.86455353125604,237.6054694959673,376.7552124088409,311.86455353125604,311.86455353125604,-4.196486984224723,-4.196486984224723,-4.196486984224723,-4.196486984224723,-4.196486984224723,-4.196486984224723,0.0,0.0,0.0,307.6680665470313
5,2020-07-27,316.7364436888838,244.98118938080844,378.15122610594324,316.7364436888838,316.7364436888838,-5.747141642330934,-5.747141642330934,-5.747141642330934,-5.747141642330934,-5.747141642330934,-5.747141642330934,0.0,0.0,0.0,310.9893020465529
6,2020-07-28,318.36040707475973,244.1017415696082,387.04059224715934,318.36040707475973,318.36040707475973,-3.092493358540573,-3.092493358540573,-3.092493358540573,-3.092493358540573,-3.092493358540573,-3.092493358540573,0.0,0.0,0.0,315.26791371621914
7,2020-07-29,319.98437046063566,248.12500406692567,386.2654410830441,319.98437046063566,319.98437046063566,-4.448624500098712,-4.448624500098712,-4.448624500098712,-4.448624500098712,-4.448624500098712,-4.448624500098712,0.0,0.0,0.0,315.53574596053693
8,2020-07-30,321.60833384651164,247.094143161289,389.6895890604366,321.60833384651164,321.60833384651164,-4.54647150719685,-4.54647150719685,-4.54647150719685,-4.54647150719685,-4.54647150719685,-4.54647150719685,0.0,0.0,0.0,317.0618623393148
9,2020-07-31,323.23229725483696,253.26560606909564,388.5610034094805,323.23229725483696,323.23229725483696,-4.196486984212072,-4.196486984212072,-4.196486984212072,-4.196486984212072,-4.196486984212072,-4.196486984212072,0.0,0.0,0.0,319.0358102706249
10,2020-08-03,328.10418747981316,252.10263013970808,385.6931316550506,328.10418747981316,328.10418747981316,-5.747141642329409,-5.747141642329409,-5.747141642329409,-5.747141642329409,-5.747141642329409,-5.747141642329409,0.0,0.0,0.0,322.3570458374838
11,2020-08-04,329.72815088813854,258.3180328967983,396.72513673674814,329.72815088813854,329.72815088813854,-3.092493358535981,-3.092493358535981,-3.092493358535981,-3.092493358535981,-3.092493358535981,-3.092493358535981,0.0,0.0,0.0,326.63565752960255
12,2020-08-05,331.3521142964639,258.42503429670205,395.1258501888131,331.3521142964639,331.3521142964639,-4.448624500102391,-4.448624500102391,-4.448624500102391,-4.448624500102391,-4.448624500102391,-4.448624500102391,0.0,0.0,0.0,326.90348979636155
13,2020-08-06,332.97607770478925,256.52578143343896,399.7825985779843,332.97607770478925,332.97607770478925,-4.5464715072025745,-4.5464715072025745,-4.5464715072025745,-4.5464715072025745,-4.5464715072025745,-4.5464715072025745,0.0,0.0,0.0,328.4296061975867
